number,data
1,0.31274211766645654
2,0.09625262499722453
3,0.6601030003616895
4,0.4174153367070208
5,0.8939068700051712
6,0.4742617348153285
7,0.010652547893183373
8,0.6048299833786915
9,0.770228180591987
10,0.61820530816323
11,0.650730120743767
12,0.6831156657996477
13,0.43043208459459537
14,0.2773938829348529
15,0.11592064233875632
16,0.4817713614146397
17,0.7776660686172063
18,0.14417270199162846
19,0.19380478835938197
20,0.07271068559850957
21,0.6766378475171853
22,0.13648533088679338
23,0.5091654746465311
24,0.6294669736794929
25,0.43533763655484836
26,0.5434477225766243
27,0.13875389885988654
28,0.47613490636545375
29,0.585247205139342
30,0.6526819933827994
31,0.3097044985770623
32,0.5569260292433545
33,0.9554992245258441
34,0.874892186747675
35,0.8745666657511275
36,0.5744029240509937
37,0.16485702628043286
38,0.5941981471699952
39,0.03043077791694715
40,0.959631291049362
41,0.3088189032007358
42,0.44136731557613107
43,0.04953643366192828
44,0.6715233955268342
45,0.7439336083956394
46,0.7904979501979035
47,0.45460994099234686
48,0.5162872840839543
49,0.43828940257625537
50,0.18411097356256712
51,0.7287930488442397
52,0.0185529369584867
53,0.20185406028356234
54,0.09865743810514038
55,0.17484404541532694
56,0.20517233299517856
57,0.7449015248357467
58,0.03541441955314417
59,0.7042820035539807
60,0.498673822401983
61,0.6258930745218898
62,0.040745867832568394
63,0.3630287533668006
64,0.13549392479566214
65,0.5317923179266577
66,0.9959559972918475
67,0.32012093334192493
68,0.22265832187057188
69,0.7312416742866017
70,0.8295866192332793
71,0.9759678691257392
72,0.803966898463563
73,0.12988983221415018
74,0.2525225203128192
75,0.5835373137589709
76,0.9753509237785966
77,0.8280178573513082
78,0.29929173262390474
79,0.21594167870683567
80,0.9026485723553732
81,0.6249369910891023
82,0.49025684975455874
83,0.2808199136626012
84,0.10594445068770897
85,0.5443830993261213
86,0.5283035060570406
87,0.47134469482568164
88,0.38132383925666247
89,0.34005282221090405
90,0.20908135187064925
91,0.4885273449915294
92,0.7273490842219514
93,0.30358123974211293
94,0.656912799388946
95,0.4442754979074951
96,0.5588707678141859
97,0.6986577402554193
98,0.07101890416341661
99,0.4234137172074577
100,0.8124575634768975
101,0.4698391407624716
102,0.7795486741446499
103,0.3227479161554311
104,0.9730446985270199
105,0.43590642752226805
106,0.167107210080516
107,0.07518084866957919
108,0.03341779835947134
109,0.6570622523146807
110,0.7166675618919582
111,0.5920932650944426
112,0.33725614219943645
113,0.9626469386459671
114,0.8488580263689385
115,0.9820577775799978
116,0.7448977082594832
117,0.7033977708956982
118,0.9748063015620473
119,0.9889129456711893
120,0.09254257668534671
121,0.26966783410195405
122,0.48153803394634287
123,0.8773769612514412
124,0.13030529729249907
125,0.38996330446070104
126,0.44862393579891546
127,0.5643755105940689
128,0.3623713552547184
129,0.5165660431751692
130,0.8435568357980295
131,0.24705561165243173
132,0.09594207718213865
133,0.6793878496189587
134,0.9332325538390617
135,0.3360559111459035
136,0.22847726866700502
137,0.09073688017061088
138,0.6018160028703533
139,0.4867816551346329
140,0.3895187823892219
141,0.41907673620536245
142,0.4783513702975303
143,0.5812011451361796
144,0.3645825273222483
145,0.8684106554877296
146,0.8074928532084346
147,0.870706588116685
148,0.004384838486044318
149,0.040003936654638306
150,0.6480629464034405
151,0.000844878834355911
152,0.6497655523482815
153,0.0872225542901689
154,0.5411155400788271
155,0.12701027226701245
156,0.4948844855898571
157,0.29035847283150173
158,0.19829679129010458
159,0.8494586747642091
160,0.4653348968245885
161,0.15106675367492473
162,0.3888605055015302
163,0.8710463580357163
164,0.055666890433052174
165,0.24854912135418805
166,0.16279017109586003
167,0.023688909500111044
168,0.6236034149929862
169,0.6815262597327375
170,0.4342363125079014
171,0.9533030561566407
172,0.9245531333028542
173,0.7364009276995026
174,0.5681722864747766
175,0.9653081323674276
176,0.9198099271636168
177,0.6454362529671255
178,0.22566438791344634
179,0.9462945222758076
180,0.8903652274555256
181,0.5868942891805486
182,0.3996159532169443
183,0.25701565903463996
184,0.5482892496007329
185,0.8144401418106376
186,0.40468931231722205
187,0.49900232221779983
188,0.5342414396734857
189,0.7770527006700573
190,0.26700495647405154
191,0.6556286470221366
192,0.6872528700547573
193,0.6544478808740584
194,0.04613806395216569
195,0.3869234723236843
196,0.5236027634657848
197,0.27925722696489785
198,0.6979951868846439
199,0.9285554914631008
